fid,Code_Commu,Code_Provi,CODE_REGIO,nom,Marocains_,Etrangers_,Populati_1,Menages_,nom_arabe,longitude,latitude
117,05.301.07.15.,05.301.,5.0,Moulay Bouazza,7620,1,7621,2223,جماعة مولاي بوعزة,-6.14902,33.25317
118,05.081.09.21.,05.081.,5.0,Tiffert N'ait Hamza,3784,0,3784,879,جماعة تيفرت نايت حمزة,-5.95485,32.27691
119,05.081.03.13.,05.081.,5.0,Zaouiat Ahansal,11260,0,11260,2159,جماعة زاوية أحنصال,-6.07304,31.84955
120,05.091.01.13.,05.091.,5.0,Zaouiat Cheikh,25084,4,25088,7304,جماعة زاوية الشيخ,-5.91955,32.64123
121,05.081.03.11.,05.081.,5.0,Tamda Noumercid,12959,0,12959,2454,جماعة تامدة نومرصيد,-6.63215,31.93018
122,05.311.07.17.,05.311.,5.0,C d'Oulad Fennane,6912,0,6912,1605,جماعة أولاد فنان,-6.51491,33.07599
123,05.311.07.19.,05.311.,5.0,C d'Oulad Ftata,2552,0,2552,633,جماعة أولاد فتاتة,-6.65269,33.17286
124,05.091.03.03.,05.091.,5.0,C d'Ouled Gnaou,13366,0,13366,3199,جماعة أولاد كناو,-6.53347,32.3225
125,05.311.03.11.,05.311.,5.0,C d'Oulad Gouaouch,2474,0,2474,661,جماعة أولاد كواوش,-6.33266,32.72582
126,05.301.05.21.,05.301.,5.0,Sidi Amar,1625,0,1625,468,جماعة سيدي عمرو,-5.80082,32.91144
127,05.255.05.13.,05.255.,5.0,Sidi Hammadi,12979,2,12981,3083,جماعة سيدي حمادي,-6.58171,32.26569
128,05.301.07.23.,05.301.,5.0,Sidi Hcine,2510,0,2510,576,جماعة سيدي حسين,-6.02327,33.03116
129,05.091.03.09.,05.091.,5.0,Sidi Jaber,20451,4,20455,4306,جماعة سيدي جابر,-6.44047,32.36005
130,05.301.05.25.,05.301.,5.0,Sidi Lamine,16501,0,16501,4279,جماعة سيدي لامين,-5.97784,32.88248
131,05.081.13.17.,05.081.,5.0,Sidi Yacoub,18868,0,18868,3549,جماعة سيدي يعقوب,-7.11251,31.63877
132,05.301.03.11.,05.301.,5.0,Sidi Yahya Ou Saad,6911,0,6911,1737,جماعة سيدي يحيى أوساعد,-5.61777,32.6278
133,05.091.07.13.,05.091.,5.0,Taghzirt,20018,5,20023,5346,جماعة تاكزيرت,-6.16409,32.40647
134,05.081.09.19.,05.081.,5.0,Tagleft,16411,1,16412,3844,جماعة تاكلفت,-6.12988,32.21651
135,05.081.05.17.,05.081.,5.0,Tanant,10889,2,10891,2466,جماعة تنانت,-6.92284,31.91065
